"Time","141006A","","141006A","","141006A","",""
"and","140.00","","140.00","","140.00","",""
"Date","Discharge (Cumecs)","","Discharge (Cumecs)","","Discharge (Cumecs)","",""
"Date and time","Mean","Quality","Min","Quality","Max","Quality","Comments"
00:00:00 01/02/2010,     10.5947,     20,      0.0425,     20,     29.6090,     20, 
00:00:00 02/02/2010,      2.0549,     20,      0.8725,     20,      4.6270,     20, 
00:00:00 03/02/2010,      0.5814,     20,      0.3745,     20,      0.8725,     20, 
00:00:00 04/02/2010,      0.3027,     20,      0.2510,     20,      0.3745,     20, 
00:00:00 05/02/2010,      0.2128,     20,      0.1705,     20,      0.2510,     20, 
00:00:00 06/02/2010,      0.1337,     20,      0.1051,     20,      0.1705,     20, 
00:00:00 07/02/2010,     42.6384,     30,      0.1040,     30,    107.1945,     30, 
00:00:00 08/02/2010,     10.2943,     20,      3.2585,     20,     38.5325,     20, 
00:00:00 09/02/2010,      3.4097,     20,      2.5385,     20,      4.4000,     20, 
00:00:00 10/02/2010,      1.7499,     20,      1.2160,     20,      2.5385,     20, 
00:00:00 11/02/2010,      1.0036,     20,      0.7391,     20,      1.2160,     20, 
00:00:00 12/02/2010,      0.6001,     20,      0.4635,     20,      0.7391,     20, 
00:00:00 13/02/2010,      0.4030,     20,      0.3500,     20,      0.4635,     20, 
00:00:00 14/02/2010,      0.3072,     20,      0.2640,     20,      0.3500,     20, 
00:00:00 15/02/2010,      0.2426,     20,      0.2195,     20,      0.2640,     20, 
00:00:00 16/02/2010,      2.6993,     20,      0.2050,     20,     11.1110,     20, 
00:00:00 17/02/2010,     23.2899,     30,      3.8355,     30,     66.0670,     30, 
00:00:00 18/02/2010,      2.5261,     20,      1.6110,     20,      3.8355,     20, 
00:00:00 19/02/2010,      1.2527,     20,      0.9555,     20,      1.6110,     20, 
00:00:00 20/02/2010,      0.9444,     20,      0.7245,     20,      1.0470,     20, 
00:00:00 21/02/2010,      0.9471,     20,      0.6480,     20,      1.4370,     20, 
00:00:00 22/02/2010,      0.7935,     20,      0.5480,     20,      1.1155,     20, 
00:00:00 23/02/2010,      0.4690,     20,      0.3740,     20,      0.5480,     20, 
00:00:00 24/02/2010,      0.3728,     20,      0.3290,     20,      0.5060,     20, 
00:00:00 25/02/2010,      2.8499,     20,      0.5060,     20,      7.1245,     20, 
00:00:00 26/02/2010,      2.2821,     20,      1.2965,     20,      5.3215,     20, 
00:00:00 27/02/2010,      4.3929,     20,      1.1560,     20,     24.1080,     20, 
00:00:00 28/02/2010,      8.8987,     20,      4.1780,     20,     24.7975,     20, 
00:00:00 01/03/2010,      8.2041,     20,      5.3775,     20,     29.1920,     20, 
00:00:00 02/03/2010,     54.7386,     20,     29.1920,     20,     65.8190,     20, 
00:00:00 03/03/2010,     22.1879,     20,      8.8525,     20,     53.1930,     20, 
00:00:00 04/03/2010,     11.4192,     20,      8.2585,     20,     17.2285,     20, 
00:00:00 05/03/2010,     16.3200,     20,      9.0280,     20,     23.5215,     20, 
00:00:00 06/03/2010,     20.4302,     20,      7.5235,     20,     62.7950,     20, 
00:00:00 07/03/2010,     15.9709,     20,      4.4995,     20,     58.3145,     20, 
00:00:00 08/03/2010,      3.4665,     20,      2.6240,     20,      4.4995,     20, 
00:00:00 09/03/2010,      2.1505,     20,      1.6935,     20,      2.6240,     20, 
00:00:00 10/03/2010,      1.6856,     20,      1.4065,     20,      2.6410,     20, 
00:00:00 11/03/2010,      6.3013,     20,      2.4335,     20,      9.6915,     20, 
00:00:00 12/03/2010,      6.1804,     20,      3.3475,     20,     10.3105,     20, 
00:00:00 13/03/2010,      3.1691,     20,      2.6365,     20,      3.7860,     20, 
00:00:00 14/03/2010,      4.4809,     20,      2.7275,     20,      6.7515,     20, 
00:00:00 15/03/2010,      5.4002,     20,      2.2330,     20,     15.0025,     20, 
00:00:00 16/03/2010,      6.1102,     20,      4.1780,     20,     12.5500,     20, 
00:00:00 17/03/2010,      2.9355,     20,      2.1650,     20,      4.1780,     20, 
00:00:00 18/03/2010,      1.8586,     20,      1.5720,     20,      2.1650,     20, 
00:00:00 19/03/2010,      1.3651,     20,      1.1340,     20,      1.5720,     20, 
00:00:00 20/03/2010,      1.0810,     20,      1.0470,     20,      1.1340,     20, 
00:00:00 21/03/2010,      1.1307,     10,      1.0825,     10,      1.1935,     10, 
00:00:00 22/03/2010,      1.0647,     10,      0.9250,     10,      1.2160,     10, 
00:00:00 23/03/2010,      0.8123,     10,      0.6890,     10,      0.9250,     10, 
00:00:00 24/03/2010,      0.6290,     10,      0.5544,     10,      0.6890,     10, 
00:00:00 25/03/2010,      0.5093,     10,      0.4607,     10,      0.5544,     10, 
00:00:00 26/03/2010,      0.4391,     10,      0.4045,     10,      0.4607,     10, 
00:00:00 27/03/2010,      0.3738,     10,      0.3450,     10,      0.4045,     10, 
00:00:00 28/03/2010,      0.3370,     10,      0.3335,     10,      0.3450,     10, 
00:00:00 29/03/2010,      0.3421,     10,      0.3310,     10,      0.3520,     10, 
00:00:00 30/03/2010,      0.6703,     10,      0.3130,     10,      1.5265,     10, 
00:00:00 31/03/2010,      0.7521,     10,      0.4280,     10,      1.4850,     10, 
00:00:00 01/04/2010,      8.1848,     20,      0.4095,     20,     29.3475,     20, 
00:00:00 02/04/2010,      1.4036,     10,      0.9810,     10,      2.1255,     10, 
00:00:00 03/04/2010,      0.7769,     10,      0.5882,     10,      0.9810,     10, 
00:00:00 04/04/2010,      0.5001,     10,      0.4175,     10,      0.5882,     10, 
00:00:00 05/04/2010,      0.3761,     10,      0.3380,     10,      0.4175,     10, 
00:00:00 06/04/2010,      0.3234,     10,      0.3060,     10,      0.3380,     10, 
00:00:00 07/04/2010,      0.2895,     10,      0.2740,     10,      0.3060,     10, 
00:00:00 08/04/2010,      0.2610,     10,      0.2520,     10,      0.2740,     10, 
00:00:00 09/04/2010,      0.2466,     10,      0.2420,     10,      0.2520,     10, 
00:00:00 10/04/2010,      0.2333,     10,      0.2290,     10,      0.2420,     10, 
00:00:00 11/04/2010,      0.2460,     10,      0.2250,     10,      0.3520,     10, 
00:00:00 12/04/2010,      0.3011,     10,      0.2460,     10,      0.3640,     10, 
00:00:00 13/04/2010,      0.2466,     10,      0.2385,     10,      0.2620,     10, 
00:00:00 14/04/2010,      0.2464,     10,      0.2345,     10,      0.2620,     10, 
00:00:00 15/04/2010,      0.2267,     10,      0.2180,     10,      0.2345,     10, 
00:00:00 16/04/2010,      0.2117,     10,      0.2070,     10,      0.2180,     10, 
00:00:00 17/04/2010,      0.4492,     10,      0.2180,     10,      1.4605,     10, 
00:00:00 18/04/2010,      1.2157,     10,      0.7350,     10,      2.0625,     10, 
00:00:00 19/04/2010,      0.9903,     10,      0.7245,     10,      1.3330,     10, 
00:00:00 20/04/2010,      0.9594,     10,      0.5120,     10,      4.3690,     10, 
00:00:00 21/04/2010,      7.5089,     20,      2.8235,     20,     18.9360,     20, 
00:00:00 22/04/2010,      4.5145,     10,      2.4590,     10,      7.2290,     10, 
00:00:00 23/04/2010,      1.8317,     10,      1.2610,     10,      2.4590,     10, 
00:00:00 24/04/2010,      1.1924,     10,      1.1280,     10,      1.4300,     10, 
00:00:00 25/04/2010,      1.4868,     10,      1.0240,     10,      2.0005,     10, 
00:00:00 26/04/2010,      0.8031,     10,      0.5825,     10,      1.0240,     10, 
00:00:00 27/04/2010,      0.5106,     10,      0.4440,     10,      0.5825,     10, 
00:00:00 28/04/2010,      0.4163,     10,      0.3915,     10,      0.4440,     10, 
00:00:00 29/04/2010,      0.3696,     10,      0.3473,     10,      0.3915,     10, 
00:00:00 30/04/2010,      0.3281,     10,      0.2995,     10,      0.3473,     10, 
00:00:00 01/05/2010,      0.2902,     10,      0.2805,     10,      0.2995,     10, 
00:00:00 02/05/2010,      0.2744,     10,      0.2680,     10,      0.2805,     10, 
00:00:00 03/05/2010,      0.2614,     10,      0.2580,     10,      0.2805,     10, 
00:00:00 04/05/2010,      0.3976,     10,      0.2805,     10,      0.6510,     10, 
00:00:00 05/05/2010,      0.3967,     10,      0.3034,     10,      0.6480,     10, 
00:00:00 06/05/2010,      0.2741,     10,      0.2500,     10,      0.3034,     10, 
00:00:00 07/05/2010,      0.2376,     10,      0.2290,     10,      0.2500,     10, 
00:00:00 08/05/2010,      0.2222,     10,      0.2180,     10,      0.2290,     10, 
00:00:00 09/05/2010,      0.2107,     10,      0.2070,     10,      0.2180,     10, 
00:00:00 10/05/2010,      0.2018,     10,      0.2000,     10,      0.2070,     10, 
00:00:00 11/05/2010,      0.2242,     20,      0.1965,     20,      0.2785,     20, 
00:00:00 12/05/2010,      0.2448,     10,      0.2140,     10,      0.2805,     10, 
00:00:00 13/05/2010,      0.1898,     20,      0.1740,     20,      0.2140,     20, 
00:00:00 14/05/2010,      0.1657,     20,      0.1590,     20,      0.1740,     20, 
00:00:00 15/05/2010,      0.1507,     20,      0.1425,     20,      0.1590,     20, 
00:00:00 16/05/2010,      0.1411,     20,      0.1400,     20,      0.1425,     20, 
00:00:00 17/05/2010,      0.1400,     20,      0.1400,     20,      0.1400,     20, 
00:00:00 18/05/2010,      0.1387,     20,      0.1370,     20,      0.1400,     20, 
00:00:00 19/05/2010,      0.1299,     20,      0.1250,     20,      0.1370,     20, 
00:00:00 20/05/2010,      0.1211,     20,      0.1180,     20,      0.1250,     20, 
00:00:00 21/05/2010,      0.1454,     20,      0.1180,     20,      0.2910,     20, 
00:00:00 22/05/2010,      0.2748,     10,      0.2160,     10,      0.3310,     10, 
00:00:00 23/05/2010,      0.1725,     20,      0.1450,     20,      0.2160,     20, 
00:00:00 24/05/2010,      0.1327,     20,      0.1270,     20,      0.1450,     20, 
00:00:00 25/05/2010,      0.1422,     20,      0.1270,     20,      0.1620,     20, 
00:00:00 26/05/2010,      0.1483,     20,      0.1320,     20,      0.1620,     20, 
00:00:00 27/05/2010,      0.1182,     20,      0.1090,     20,      0.1320,     20, 
00:00:00 28/05/2010,      0.1099,     20,      0.1090,     20,      0.1225,     20, 
00:00:00 29/05/2010,      0.3173,     20,      0.1225,     20,      0.4635,     20, 
00:00:00 30/05/2010,      0.2478,     20,      0.1900,     20,      0.3570,     20, 
00:00:00 31/05/2010,      0.1600,     20,      0.1400,     20,      0.1900,     20, 
00:00:00 01/06/2010,      0.1270,     20,      0.1180,     20,      0.1400,     20, 
00:00:00 02/06/2010,      0.1152,     20,      0.1110,     20,      0.1180,     20, 
00:00:00 03/06/2010,      0.1110,     20,      0.1110,     20,      0.1110,     20, 
00:00:00 04/06/2010,      0.1076,     20,      0.1025,     20,      0.1110,     20, 
00:00:00 05/06/2010,      0.0996,     20,      0.0950,     20,      0.1050,     20, 
00:00:00 06/06/2010,      0.0913,     20,      0.0855,     20,      0.0950,     20, 
00:00:00 07/06/2010,      0.0820,     20,      0.0785,     20,      0.0855,     20, 
00:00:00 08/06/2010,      0.0779,     20,      0.0770,     20,      0.0785,     20, 
00:00:00 09/06/2010,      0.0780,     20,      0.0770,     20,      0.0785,     20, 
00:00:00 10/06/2010,      0.0748,     20,      0.0690,     20,      0.0785,     20, 
00:00:00 11/06/2010,      0.0682,     20,      0.0660,     20,      0.0690,     20, 
00:00:00 12/06/2010,      0.0652,     20,      0.0635,     20,      0.0660,     20, 
00:00:00 13/06/2010,      0.0624,     20,      0.0605,     20,      0.0635,     20, 
00:00:00 14/06/2010,      0.0599,     20,      0.0595,     20,      0.0605,     20, 
00:00:00 15/06/2010,      0.0679,     20,      0.0605,     20,      0.0690,     20, 
00:00:00 16/06/2010,      0.0781,     20,      0.0690,     20,      0.0805,     20, 
00:00:00 17/06/2010,      0.0801,     20,      0.0785,     20,      0.0805,     20, 
00:00:00 18/06/2010,      0.0733,     20,      0.0690,     20,      0.0785,     20, 
00:00:00 19/06/2010,      0.0679,     20,      0.0660,     20,      0.0690,     20, 
00:00:00 20/06/2010,      0.0651,     20,      0.0620,     20,      0.0660,     20, 
00:00:00 21/06/2010,      0.0606,     20,      0.0595,     20,      0.0620,     20, 
00:00:00 22/06/2010,      0.0575,     20,      0.0555,     20,      0.0595,     20, 
00:00:00 23/06/2010,      0.0627,     20,      0.0540,     20,      0.0985,     20, 
00:00:00 24/06/2010,      0.1243,     20,      0.0985,     20,      0.1370,     20, 
00:00:00 25/06/2010,      0.1036,     20,      0.0840,     20,      0.1297,     20, 
00:00:00 26/06/2010,      0.0763,     20,      0.0690,     20,      0.0840,     20, 
00:00:00 27/06/2010,      0.0663,     20,      0.0620,     20,      0.0690,     20, 
00:00:00 28/06/2010,      0.0589,     20,      0.0555,     20,      0.0620,     20, 
00:00:00 29/06/2010,      0.0540,     20,      0.0505,     20,      0.0555,     20, 
00:00:00 30/06/2010,      0.0502,     20,      0.0500,     20,      0.0505,     20, 
00:00:00 01/07/2010,      0.0497,     20,      0.0495,     20,      0.0500,     20, 
00:00:00 02/07/2010,      0.0490,     20,      0.0480,     20,      0.0495,     20, 
00:00:00 03/07/2010,      0.0497,     20,      0.0480,     20,      0.0505,     20, 
00:00:00 04/07/2010,      0.0482,     20,      0.0460,     20,      0.0490,     20, 
00:00:00 05/07/2010,      0.0447,     20,      0.0430,     20,      0.0460,     20, 
00:00:00 06/07/2010,      0.0449,     20,      0.0440,     20,      0.0450,     20, 
00:00:00 07/07/2010,      0.0442,     20,      0.0430,     20,      0.0450,     20, 
00:00:00 08/07/2010,      0.0421,     20,      0.0400,     20,      0.0430,     20, 
00:00:00 09/07/2010,      0.0382,     20,      0.0360,     20,      0.0400,     20, 
00:00:00 10/07/2010,      0.0382,     20,      0.0360,     20,      0.0405,     20, 
00:00:00 11/07/2010,      0.0418,     20,      0.0405,     20,      0.0440,     20, 
00:00:00 12/07/2010,      0.0444,     20,      0.0430,     20,      0.0450,     20, 
00:00:00 13/07/2010,      0.0417,     20,      0.0400,     20,      0.0430,     20, 
00:00:00 14/07/2010,      0.0387,     20,      0.0360,     20,      0.0400,     20, 
00:00:00 15/07/2010,      0.0350,     20,      0.0335,     20,      0.0360,     20, 
00:00:00 16/07/2010,      0.0324,     20,      0.0310,     20,      0.0335,     20, 
00:00:00 17/07/2010,      0.0305,     20,      0.0295,     20,      0.0310,     20, 
00:00:00 18/07/2010,      0.0295,     20,      0.0295,     20,      0.0295,     20, 
00:00:00 19/07/2010,      0.0295,     20,      0.0295,     20,      0.0295,     20, 
00:00:00 20/07/2010,      0.0301,     20,      0.0295,     20,      0.0310,     20, 
00:00:00 21/07/2010,      0.0295,     20,      0.0295,     20,      0.0295,     20, 
00:00:00 22/07/2010,      0.0292,     20,      0.0280,     20,      0.0295,     20, 
00:00:00 23/07/2010,      0.0274,     20,      0.0255,     20,      0.0280,     20, 
00:00:00 24/07/2010,      0.0261,     20,      0.0255,     20,      0.0265,     20, 
00:00:00 25/07/2010,      0.0281,     20,      0.0265,     20,      0.0295,     20, 
00:00:00 26/07/2010,      0.0324,     20,      0.0295,     20,      0.0440,     20, 
00:00:00 27/07/2010,      0.0623,     20,      0.0440,     20,      0.0675,     20, 
00:00:00 28/07/2010,      0.1401,     20,      0.0675,     20,      0.3240,     20, 
00:00:00 29/07/2010,      0.2912,     20,      0.1740,     20,      0.3915,     20, 
00:00:00 30/07/2010,      0.1229,     20,      0.0910,     20,      0.1740,     20, 
00:00:00 31/07/2010,      0.0727,     20,      0.0605,     20,      0.0910,     20, 
00:00:00 01/08/2010,      0.0552,     20,      0.0495,     20,      0.0605,     20, 
00:00:00 02/08/2010,      0.0446,     20,      0.0390,     20,      0.0495,     20, 
00:00:00 03/08/2010,      0.0322,     20,      0.0295,     20,      0.0390,     20, 
00:00:00 04/08/2010,      0.0298,     20,      0.0295,     20,      0.0300,     20, 
00:00:00 05/08/2010,      0.0295,     20,      0.0295,     20,      0.0295,     20, 
00:00:00 06/08/2010,      0.0305,     20,      0.0295,     20,      0.0315,     20, 
00:00:00 07/08/2010,      0.0277,     20,      0.0255,     20,      0.0325,     20, 
00:00:00 08/08/2010,      0.0254,     20,      0.0250,     20,      0.0255,     20, 
00:00:00 09/08/2010,      0.0250,     20,      0.0250,     20,      0.0250,     20, 
00:00:00 10/08/2010,      0.0983,     20,      0.0250,     20,      1.6000,     20, 
00:00:00 11/08/2010,      3.2871,     10,      0.9980,     10,      7.8580,     10, 
00:00:00 12/08/2010,      0.4727,     10,      0.2729,     10,      0.9980,     10, 
00:00:00 13/08/2010,      0.2157,     20,      0.1680,     20,      0.2729,     20, 
00:00:00 14/08/2010,      0.1397,     20,      0.1180,     20,      0.1680,     20, 
00:00:00 15/08/2010,      0.1044,     20,      0.0930,     20,      0.1180,     20, 
00:00:00 16/08/2010,      0.0836,     20,      0.0755,     20,      0.0930,     20, 
00:00:00 17/08/2010,      0.0697,     20,      0.0635,     20,      0.0755,     20, 
00:00:00 18/08/2010,      0.0609,     20,      0.0595,     20,      0.0635,     20, 
00:00:00 19/08/2010,      0.0580,     20,      0.0565,     20,      0.0595,     20, 
00:00:00 20/08/2010,      0.0576,     20,      0.0555,     20,      0.0650,     20, 
00:00:00 21/08/2010,      0.0720,     20,      0.0650,     20,      0.0740,     20, 
00:00:00 22/08/2010,      0.0614,     20,      0.0530,     20,      0.0720,     20, 
00:00:00 23/08/2010,      0.0509,     20,      0.0495,     20,      0.0530,     20, 
00:00:00 24/08/2010,      0.0507,     20,      0.0495,     20,      0.0515,     20, 
00:00:00 25/08/2010,      0.0527,     20,      0.0505,     20,      0.0540,     20, 
00:00:00 26/08/2010,      0.0498,     20,      0.0480,     20,      0.0515,     20, 
00:00:00 27/08/2010,      0.0454,     20,      0.0430,     20,      0.0480,     20, 
00:00:00 28/08/2010,      0.0414,     20,      0.0380,     20,      0.0430,     20, 
00:00:00 29/08/2010,      0.0364,     20,      0.0340,     20,      0.0380,     20, 
00:00:00 30/08/2010,      0.0338,     20,      0.0335,     20,      0.0340,     20, 
00:00:00 31/08/2010,      0.0332,     20,      0.0325,     20,      0.0335,     20, 
00:00:00 01/09/2010,      0.0316,     20,      0.0300,     20,      0.0325,     20, 
00:00:00 02/09/2010,      0.0301,     20,      0.0285,     20,      0.0310,     20, 
00:00:00 03/09/2010,      0.0275,     20,      0.0255,     20,      0.0285,     20, 
00:00:00 04/09/2010,      0.0264,     20,      0.0255,     20,      0.0270,     20, 
00:00:00 05/09/2010,      0.0415,     20,      0.0255,     20,      0.1480,     20, 
00:00:00 06/09/2010,      0.3735,     20,      0.1480,     20,      0.5420,     20, 
00:00:00 07/09/2010,      0.1750,     20,      0.1005,     20,      0.2870,     20, 
00:00:00 08/09/2010,      0.0791,     20,      0.0620,     20,      0.1005,     20, 
00:00:00 09/09/2010,      0.0542,     20,      0.0470,     20,      0.0620,     20, 
00:00:00 10/09/2010,      0.0542,     20,      0.0450,     20,      0.0805,     20, 
00:00:00 11/09/2010,      0.0839,     20,      0.0740,     20,      0.0910,     20, 
00:00:00 12/09/2010,      0.0603,     20,      0.0495,     20,      0.0740,     20, 
00:00:00 13/09/2010,      0.0450,     20,      0.0405,     20,      0.0495,     20, 
00:00:00 14/09/2010,      0.0384,     20,      0.0350,     20,      0.0405,     20, 
00:00:00 15/09/2010,      0.0330,     20,      0.0300,     20,      0.0350,     20, 
00:00:00 16/09/2010,      0.0284,     20,      0.0265,     20,      0.0300,     20, 
00:00:00 17/09/2010,      0.0265,     20,      0.0245,     20,      0.0280,     20, 
00:00:00 18/09/2010,      0.0244,     20,      0.0235,     20,      0.0245,     20, 
00:00:00 19/09/2010,      0.0241,     20,      0.0235,     20,      0.0245,     20, 
00:00:00 20/09/2010,      0.0992,     20,      0.0245,     20,      0.4660,     20, 
00:00:00 21/09/2010,      0.4581,     10,      0.2663,     10,      0.7205,     10, 
00:00:00 22/09/2010,      0.1849,     20,      0.1200,     20,      0.2663,     20, 
00:00:00 23/09/2010,      0.0972,     20,      0.0785,     20,      0.1200,     20, 
00:00:00 24/09/2010,      0.0709,     20,      0.0650,     20,      0.0785,     20, 
00:00:00 25/09/2010,      0.0644,     20,      0.0620,     20,      0.0660,     20, 
00:00:00 26/09/2010,      0.0582,     20,      0.0540,     20,      0.0620,     20, 
00:00:00 27/09/2010,      0.0515,     20,      0.0480,     20,      0.0540,     20, 
00:00:00 28/09/2010,      0.0734,     20,      0.0450,     20,      0.2440,     20, 
00:00:00 29/09/2010,      0.6860,     10,      0.2440,     10,      1.2805,     10, 
00:00:00 30/09/2010,      0.1995,     20,      0.1297,     20,      0.2890,     20, 
00:00:00 01/10/2010,      0.1018,     20,      0.0820,     20,      0.1297,     20, 
00:00:00 02/10/2010,      0.0775,     20,      0.0755,     20,      0.0820,     20, 
00:00:00 03/10/2010,      0.0876,     20,      0.0785,     20,      0.0930,     20, 
00:00:00 04/10/2010,      0.0760,     20,      0.0660,     20,      0.0820,     20, 
00:00:00 05/10/2010,      0.0620,     20,      0.0565,     20,      0.0660,     20, 
00:00:00 06/10/2010,      0.0523,     20,      0.0470,     20,      0.0565,     20, 
00:00:00 07/10/2010,      0.0455,     20,      0.0430,     20,      0.0470,     20, 
00:00:00 08/10/2010,      2.9991,     20,      0.0430,     20,     26.6035,     20, 
00:00:00 09/10/2010,     24.6404,     20,      4.3585,     20,     50.4685,     20, 
00:00:00 10/10/2010,     10.4047,     20,      4.6160,     20,     27.8895,     20, 
00:00:00 11/10/2010,     48.6462,     30,     27.6890,     30,     72.4000,     30, 
00:00:00 12/10/2010,     17.9532,     20,      4.0860,     20,     63.8515,     20, 
00:00:00 13/10/2010,      2.9316,     10,      2.0740,     10,      4.0860,     10, 
00:00:00 14/10/2010,      1.7067,     10,      1.3730,     10,      2.0740,     10, 
00:00:00 15/10/2010,      1.2323,     10,      1.1280,     10,      1.3730,     10, 
00:00:00 16/10/2010,      3.8073,     10,      1.2385,     10,      8.9150,     10, 
00:00:00 17/10/2010,      1.2591,     10,      1.0040,     10,      1.6110,     10, 
00:00:00 18/10/2010,      0.8680,     10,      0.6961,     10,      1.0040,     10, 
00:00:00 19/10/2010,      0.6173,     10,      0.5240,     10,      0.6961,     10, 
00:00:00 20/10/2010,      0.4822,     10,      0.4495,     10,      0.5240,     10, 
00:00:00 21/10/2010,      0.4149,     10,      0.3815,     10,      0.4495,     10, 
00:00:00 22/10/2010,      0.3581,     10,      0.3290,     10,      0.3815,     10, 
00:00:00 23/10/2010,      0.3051,     10,      0.2837,     10,      0.3290,     10, 
00:00:00 24/10/2010,      0.2702,     10,      0.2640,     10,      0.2837,     10, 
00:00:00 25/10/2010,      0.3804,     10,      0.2620,     10,      0.6115,     10, 
00:00:00 26/10/2010,      0.2909,     10,      0.2680,     10,      0.3405,     10, 
00:00:00 27/10/2010,      0.2689,     10,      0.2466,     10,      0.3105,     10, 
00:00:00 28/10/2010,      0.2321,     10,      0.2235,     10,      0.2466,     10, 
00:00:00 29/10/2010,      0.2135,     10,      0.2070,     10,      0.2235,     10, 
00:00:00 30/10/2010,      0.1977,     20,      0.1930,     20,      0.2070,     20, 
00:00:00 31/10/2010,      0.1820,     20,      0.1770,     20,      0.1930,     20, 
00:00:00 01/11/2010,      0.1735,     20,      0.1710,     20,      0.1770,     20, 
00:00:00 02/11/2010,      0.1680,     20,      0.1650,     20,      0.1710,     20, 
00:00:00 03/11/2010,      0.1493,     20,      0.1370,     20,      0.1650,     20, 
00:00:00 04/11/2010,      2.2317,     20,      0.1370,     20,      6.0585,     20, 
00:00:00 05/11/2010,      1.5875,     10,      0.9445,     10,      2.6970,     10, 
00:00:00 06/11/2010,      0.6237,     10,      0.4229,     10,      0.9445,     10, 
00:00:00 07/11/2010,      0.3511,     10,      0.3105,     10,      0.4229,     10, 
00:00:00 08/11/2010,      0.2889,     10,      0.2740,     10,      0.3105,     10, 
00:00:00 09/11/2010,      0.2621,     10,      0.2420,     10,      0.2740,     10, 
00:00:00 10/11/2010,      0.2274,     10,      0.2160,     10,      0.2420,     10, 
00:00:00 11/11/2010,      0.2040,     20,      0.1900,     20,      0.2160,     20, 
00:00:00 12/11/2010,      0.1756,     20,      0.1680,     20,      0.1900,     20, 
00:00:00 13/11/2010,      0.1540,     20,      0.1425,     20,      0.1680,     20, 
00:00:00 14/11/2010,      0.1793,     20,      0.1425,     20,      0.2325,     20, 
00:00:00 15/11/2010,      0.1909,     20,      0.1505,     20,      0.2345,     20, 
00:00:00 16/11/2010,      0.1319,     20,      0.1200,     20,      0.1505,     20, 
00:00:00 17/11/2010,      0.1120,     20,      0.1025,     20,      0.1200,     20, 
00:00:00 18/11/2010,      0.0987,     20,      0.0950,     20,      0.1025,     20, 
00:00:00 19/11/2010,      0.6970,     20,      0.0950,     20,      1.4850,     20, 
00:00:00 20/11/2010,      0.7056,     10,      0.3195,     10,      1.2705,     10, 
00:00:00 21/11/2010,      0.6685,     10,      0.4415,     10,      0.8600,     10, 
00:00:00 22/11/2010,      0.3508,     10,      0.3020,     10,      0.4415,     10, 
00:00:00 23/11/2010,      0.2713,     10,      0.2540,     10,      0.3020,     10, 
00:00:00 24/11/2010,      0.2336,     10,      0.2180,     10,      0.2540,     10, 
00:00:00 25/11/2010,      0.2126,     10,      0.2105,     10,      0.2180,     10, 
00:00:00 26/11/2010,      0.2102,     10,      0.2090,     10,      0.2140,     10, 
00:00:00 27/11/2010,      0.2207,     10,      0.2105,     10,      0.2270,     10, 
00:00:00 28/11/2010,      0.1827,     20,      0.1620,     20,      0.2105,     20, 
00:00:00 29/11/2010,      0.1473,     20,      0.1345,     20,      0.1620,     20, 
00:00:00 30/11/2010,      0.1289,     20,      0.1225,     20,      0.1345,     20, 
00:00:00 01/12/2010,      0.8796,     20,      0.1225,     20,      5.1040,     20, 
00:00:00 02/12/2010,      4.3460,     10,      2.5685,     10,      5.6565,     10, 
00:00:00 03/12/2010,      1.4908,     10,      0.9925,     10,      2.5685,     10, 
00:00:00 04/12/2010,      2.1239,     10,      0.9895,     10,      5.8535,     10, 
00:00:00 05/12/2010,      8.2977,     10,      5.5480,     10,     10.8885,     10, 
00:00:00 06/12/2010,     17.4735,     20,      4.6960,     20,     49.3835,     20, 
00:00:00 07/12/2010,      8.5173,     20,      6.1120,     20,     21.1055,     20, 
00:00:00 08/12/2010,      7.3935,     20,      3.7270,     20,     12.5625,     20, 
00:00:00 09/12/2010,      2.7035,     10,      1.9200,     10,      3.7270,     10, 
00:00:00 10/12/2010,      1.5923,     10,      1.2640,     10,      1.9200,     10, 
00:00:00 11/12/2010,      2.4951,     20,      1.0910,     20,     15.6475,     20, 
00:00:00 12/12/2010,     14.9594,     20,     10.3500,     20,     18.7450,     20, 
00:00:00 13/12/2010,      4.9126,     10,      2.6150,     10,     10.3500,     10, 
00:00:00 14/12/2010,      2.1098,     10,      1.6395,     10,      2.6150,     10, 
00:00:00 15/12/2010,      1.4407,     10,      1.2000,     10,      1.6395,     10, 
00:00:00 16/12/2010,      3.3444,     20,      1.1000,     20,     14.1060,     20, 
00:00:00 17/12/2010,      4.1375,     10,      2.0740,     10,     10.3370,     10, 
00:00:00 18/12/2010,      3.2390,     10,      1.6680,     10,      8.7710,     10, 
00:00:00 19/12/2010,      8.6936,     20,      2.4795,     20,     37.6095,     20, 
00:00:00 20/12/2010,     16.1962,     20,      3.6830,     20,     37.6095,     20, 
00:00:00 21/12/2010,      2.5633,     10,      1.8070,     10,      3.6830,     10, 
00:00:00 22/12/2010,      2.0007,     10,      1.6895,     10,      3.8600,     10, 
00:00:00 23/12/2010,      4.4603,     10,      1.8935,     10,      8.9525,     10, 
00:00:00 24/12/2010,     11.6930,     20,      1.7005,     20,     38.9200,     20, 
00:00:00 25/12/2010,      7.4063,     20,      4.1265,     20,     14.2800,     20, 
00:00:00 26/12/2010,      6.5620,     20,      4.4260,     20,     12.3160,     20, 
00:00:00 27/12/2010,     12.0688,     20,      5.6740,     20,     32.4185,     20, 
