"Time","141006A","","141006A","","141006A","",""
"and","140.00","","140.00","","140.00","",""
"Date","Discharge (Cumecs)","","Discharge (Cumecs)","","Discharge (Cumecs)","",""
"Date and time","Mean","Quality","Min","Quality","Max","Quality","Comments"
00:00:00 09/07/1972,      0.0610,     20,      0.0610,     20,      0.0610,     20, 
00:00:00 10/07/1972,      0.0610,     20,      0.0610,     20,      0.0610,     20, 
00:00:00 11/07/1972,      0.0614,     20,      0.0610,     20,      0.0615,     20, 
00:00:00 12/07/1972,      0.0615,     20,      0.0615,     20,      0.0615,     20, 
00:00:00 13/07/1972,      0.0615,     20,      0.0615,     20,      0.0615,     20, 
00:00:00 14/07/1972,      0.0617,     20,      0.0615,     20,      0.0620,     20, 
00:00:00 15/07/1972,      0.0603,     20,      0.0555,     20,      0.0620,     20, 
00:00:00 16/07/1972,      0.0510,     20,      0.0495,     20,      0.0555,     20, 
00:00:00 17/07/1972,      0.0495,     20,      0.0495,     20,      0.0495,     20, 
00:00:00 18/07/1972,      0.0497,     20,      0.0495,     20,      0.0500,     20, 
00:00:00 19/07/1972,      0.0500,     20,      0.0500,     20,      0.0500,     20, 
00:00:00 20/07/1972,      0.0500,     20,      0.0500,     20,      0.0500,     20, 
00:00:00 21/07/1972,      0.0500,     20,      0.0500,     20,      0.0500,     20, 
00:00:00 22/07/1972,      0.0502,     20,      0.0500,     20,      0.0505,     20, 
00:00:00 23/07/1972,      0.0505,     20,      0.0505,     20,      0.0505,     20, 
00:00:00 24/07/1972,      0.0505,     20,      0.0505,     20,      0.0505,     20, 
00:00:00 25/07/1972,      0.0505,     20,      0.0505,     20,      0.0505,     20, 
00:00:00 26/07/1972,      0.0507,     20,      0.0505,     20,      0.0510,     20, 
00:00:00 27/07/1972,      0.0510,     20,      0.0510,     20,      0.0510,     20, 
00:00:00 28/07/1972,      0.0496,     20,      0.0455,     20,      0.0510,     20, 
00:00:00 29/07/1972,      0.0417,     20,      0.0405,     20,      0.0455,     20, 
00:00:00 30/07/1972,      0.0405,     20,      0.0405,     20,      0.0405,     20, 
00:00:00 31/07/1972,      0.0405,     20,      0.0405,     20,      0.0405,     20, 
00:00:00 01/08/1972,      0.0405,     20,      0.0405,     20,      0.0405,     20, 
00:00:00 02/08/1972,      0.0409,     20,      0.0405,     20,      0.0410,     20, 
00:00:00 03/08/1972,      0.0410,     20,      0.0410,     20,      0.0410,     20, 
00:00:00 04/08/1972,      0.0410,     20,      0.0410,     20,      0.0410,     20, 
00:00:00 05/08/1972,      0.0424,     20,      0.0410,     20,      0.0465,     20, 
00:00:00 06/08/1972,      0.0506,     20,      0.0465,     20,      0.0520,     20, 
00:00:00 07/08/1972,      0.0509,     20,      0.0465,     20,      0.0525,     20, 
00:00:00 08/08/1972,      0.0427,     20,      0.0415,     20,      0.0465,     20, 
00:00:00 09/08/1972,      0.0415,     20,      0.0415,     20,      0.0415,     20, 
00:00:00 10/08/1972,      0.0415,     20,      0.0415,     20,      0.0415,     20, 
00:00:00 11/08/1972,      0.0417,     20,      0.0415,     20,      0.0420,     20, 
00:00:00 12/08/1972,      0.0407,     20,      0.0370,     20,      0.0420,     20, 
00:00:00 13/08/1972,      0.0329,     20,      0.0290,     20,      0.0370,     20, 
00:00:00 14/08/1972,      0.0263,     20,      0.0255,     20,      0.0290,     20, 
00:00:00 15/08/1972,      0.0255,     20,      0.0255,     20,      0.0255,     20, 
00:00:00 16/08/1972,      0.0263,     20,      0.0255,     20,      0.0290,     20, 
00:00:00 17/08/1972,      0.0320,     20,      0.0290,     20,      0.0330,     20, 
00:00:00 18/08/1972,      0.0330,     20,      0.0330,     20,      0.0330,     20, 
00:00:00 19/08/1972,      0.0334,     20,      0.0330,     20,      0.0335,     20, 
00:00:00 20/08/1972,      0.0325,     20,      0.0295,     20,      0.0335,     20, 
00:00:00 21/08/1972,      0.0259,     20,      0.0225,     20,      0.0295,     20, 
00:00:00 22/08/1972,      0.0202,     20,      0.0195,     20,      0.0225,     20, 
00:00:00 23/08/1972,      0.0195,     20,      0.0195,     20,      0.0195,     20, 
00:00:00 24/08/1972,      0.0195,     20,      0.0195,     20,      0.0195,     20, 
00:00:00 25/08/1972,      0.0197,     20,      0.0195,     20,      0.0200,     20, 
00:00:00 26/08/1972,      0.0200,     20,      0.0200,     20,      0.0200,     20, 
00:00:00 27/08/1972,      0.0200,     20,      0.0200,     20,      0.0200,     20, 
00:00:00 28/08/1972,      0.0168,     20,      0.0090,     20,      0.0200,     20, 
00:00:00 29/08/1972,      0.0103,     20,      0.0045,     20,      0.0200,     20, 
00:00:00 30/08/1972,      0.0135,     20,      0.0070,     20,      0.0190,     20, 
00:00:00 31/08/1972,      0.0096,     20,      0.0045,     20,      0.0200,     20, 
00:00:00 01/09/1972,      0.0088,     20,      0.0045,     20,      0.0125,     20, 
00:00:00 02/09/1972,      0.0060,     20,      0.0045,     20,      0.0080,     20, 
00:00:00 03/09/1972,      0.0110,     20,      0.0045,     20,      0.0125,     20, 
00:00:00 04/09/1972,      0.0075,     20,      0.0045,     20,      0.0125,     20, 
00:00:00 05/09/1972,      0.0045,     20,      0.0045,     20,      0.0045,     20, 
00:00:00 06/09/1972,      0.0045,     20,      0.0045,     20,      0.0045,     20, 
00:00:00 07/09/1972,      0.0089,     20,      0.0045,     20,      0.0125,     20, 
00:00:00 08/09/1972,      0.0060,     20,      0.0045,     20,      0.0080,     20, 
00:00:00 09/09/1972,      0.0079,     20,      0.0045,     20,      0.0125,     20, 
00:00:00 10/09/1972,      0.0125,     20,      0.0125,     20,      0.0125,     20, 
00:00:00 11/09/1972,      0.0100,     20,      0.0075,     20,      0.0125,     20, 
00:00:00 12/09/1972,      0.0060,     20,      0.0045,     20,      0.0075,     20, 
00:00:00 13/09/1972,      0.0045,     20,      0.0045,     20,      0.0045,     20, 
00:00:00 14/09/1972,      0.0037,     20,      0.0025,     20,      0.0045,     20, 
00:00:00 15/09/1972,      0.0020,     20,      0.0015,     20,      0.0025,     20, 
00:00:00 16/09/1972,      0.0019,     20,      0.0015,     20,      0.0025,     20, 
00:00:00 17/09/1972,      0.0025,     20,      0.0025,     20,      0.0025,     20, 
